ID;Type;Product Category;Product subset;Product code;Friendly name;Stock;Stock (meters, units);Price (£);Price-up mechanism;Width Restriction Roller;Width Restriction Roman;Shape Restriction;Type Restriction;Control Restriction;ORIGINAL Restriction (this will be ignored);Status;Products available for
1;FABRIC;Fabric;Print dim-out;FAB0001;Tudor Moreton;1;500;6.67;hw;2.4;3;;;;width roman 2.4m, side control and spring 3m, electric by overall weight of xx;;MtM( roman, side control roller,spring roller, electric) DIY (side control)
2;FABRIC;Fabric;Plain dim-out;FAB0002;Henley Strawberrys & Cream;0;500;6.67;hw;2.4;3;;;;;;MtM( roman, side control roller,spring roller, electric) DIY (side control)
3;FABRIC;Fabric;Voile;FAB0003;Kyoto Sunlight;1;500;6.67;hw;2.4;3;;;;;;MtM( roman, side control roller,spring roller, electric) DIY (side control)
4;FABRIC;Fabric;Print blackout;FAB0004;Aqua Marine;0;500;3.42;hw;2.4;3;;;;;DisconLine;MtM( roman, side control roller,spring roller, electric)
5;FABRIC;Fabric;Plain blackout;FAB0005;Bali Linen Natural;1;;3.42;hw;2.4;3;;;;;Active;MtM( roman, side control roller,spring roller, electric) DIY (side control)
6;FABRIC;Fabric;;FAB0006;Bali Linen White;0;;3.42;hw;2.4;3;;;;;;MtM( roman, side control roller,spring roller, electric)
7;FABRIC;Fabric;;FAB0007;Cortina Natural;1;;3.42;hw;2.4;3;;;;;;MtM( side control roller,spring roller, electric)
8;FABRIC;Fabric;;FAB0008;Maria Ivory;0;;3.42;hw;2.4;3;;;;;;MtM( roman)
9;FABRIC;Fabric;;FAB0009;Cotswold Linen;1;;3.42;hw;2.4;3;;;;;;DIY (side control)
10;FABRIC;Fabric;;FAB0010;Brown Suede;0;;3.42;hw;2.4;3;;;;;;
11;FABRIC;Fabric;;FAB0011;Screen White;1;;3.42;hw;2.4;3;;;;;;
12;FABRIC;Fabric;;FAB0012;Chinese White;0;;3.42;hw;2.4;3;;;;;;
13;FABRIC;Fabric;;FAB0013;Carnival China White;1;;3.42;hw;2.4;3;;;;;;
14;FABRIC;Fabric;;FAB0014;Jamboree Ice;0;;2.31;hw;2.4;3;;;;;;
15;FABRIC;Fabric;;FAB0015;Arctic;1;;3.42;hw;2.4;3;;;;;;
16;FABRIC;Fabric;;FAB0016;Shell;0;;3.42;hw;2.4;3;;;;;;
17;FABRIC;Fabric;;FAB0017;Maize;1;;3.42;hw;2.4;3;;;;;;
18;FABRIC;Fabric;;FAB0018;Cream;0;;3.42;hw;2.4;3;;;;;;
19;FABRIC;Fabric;;FAB0019;Carnival Ivory;1;;3.42;hw;2.4;3;;;;;;
20;FABRIC;Fabric;;FAB0020;Carnival Ecru;0;;3.42;hw;2.4;3;;;;;;
21;FABRIC;Fabric;;FAB0021;Carnival Primrose;1;;3.42;hw;2.4;3;;;;;;
22;FABRIC;Fabric;;FAB0022;Colourtex Biscuit;0;;2.45;hw;2.4;3;;;;;;
23;FABRIC;Fabric;;FAB0023;Oakwood beige;1;;3.42;hw;2.4;3;;;;;;
24;FABRIC;Fabric;;FAB0024;Straw;0;;3.42;hw;2.4;3;;;;;;
25;FABRIC;Fabric;;FAB0025;Dark Beige;1;;3.42;hw;2.4;3;;;;;;
26;FABRIC;Fabric;;FAB0026;Evening Buttermilk;0;;3.42;hw;2.4;3;;;;;;
27;FABRIC;Fabric;;FAB0027;Toffee;1;;3.42;hw;2.4;3;;;;;;
28;FABRIC;Fabric;;FAB0028;Stone;0;;3.42;hw;2.4;3;;;;;;
29;FABRIC;Fabric;;FAB0029;Limestone;1;;3.42;hw;2.4;3;;;;;;
30;FABRIC;Fabric;;FAB0030;Carnival Caramel;0;;3.42;hw;2.4;3;;;;;;
31;FABRIC;Fabric;;FAB0031;Carnival Cocoa;1;;3.42;hw;2.4;3;;;;;;
32;FABRIC;Fabric;;FAB0032;Latte;0;;3.42;hw;2.4;3;;;;;;
33;FABRIC;Fabric;;FAB0033;Carnival Mocha;1;;3.42;hw;2.4;3;;;;;;
34;FABRIC;Fabric;;FAB0034;Carnival Slate;0;;3.42;hw;2.4;3;;;;;;
35;FABRIC;Fabric;;FAB0035;Carnival Flint;1;;3.42;hw;2.4;3;;;;;;
36;FABRIC;Fabric;;FAB0036;B/O Arctic;0;;3.42;hw;2.4;3;;;;;;
37;FABRIC;Fabric;;FAB0037;B/O Tundra;1;;2.31;hw;2.4;3;;;;;;
38;FABRIC;Fabric;;FAB0038;B/O Polar;0;;2.31;hw;2.4;3;;;;;;
39;FABRIC;Fabric;;FAB0039;B/O White;1;;2.31;hw;2.4;3;;;;;;
40;FABRIC;Fabric;;FAB0040;Nocturne White;0;;5.32;hw;2.4;3;;;;;;
41;FABRIC;Fabric;;FAB0041;Nocturne Grey;1;;5.32;hw;2.4;3;;;;;;
42;FABRIC;Fabric;;FAB0042;B/O Toffee;0;;3.42;hw;2.4;3;;;;;;
43;FABRIC;Fabric;;FAB0043;B/O Champagne;1;;3.42;hw;2.4;3;;;;;;
44;FABRIC;Fabric;;FAB0044;B/O Stone;0;;3.42;hw;2.4;3;;;;;;
45;FABRIC;Fabric;;FAB0045;Bari Chocolate;1;;3.42;hw;2.4;3;;;;;;
46;FABRIC;Fabric;;FAB0046;Bari Grey;0;;3.42;hw;2.4;3;;;;;;
47;FABRIC;Fabric;;FAB0047;B/O Slate;1;;3.42;hw;2.4;3;;;;;;
48;FABRIC;Fabric;;FAB0048;B/O Blue;0;;3.42;hw;2.4;3;;;;;;
49;FABRIC;Fabric;;FAB0049;B/O Cherry;1;;3.42;hw;2.4;3;;;;;;
50;FABRIC;Fabric;;FAB0050;Voile White;0;;2.31;hw;2.4;3;;;;;;
51;FABRIC;Fabric;;FAB0051;Voile Natural;1;;2.31;hw;2.4;3;;;;;;
52;FABRIC;Fabric;;FAB0063;Pod grey;0;;1;hw;2.4;3;;;;;;
53;FABRIC;Fabric;;FAB0064;Scattered leaves chrome;1;;1;hw;2.4;3;;;;;;
54;FABRIC;Fabric;;FAB0065;Cars blue;0;;1;hw;2.4;3;;;;;;
1001;CHAIN;Chain;standard, heavy duty;CHA0001;White;1;;0.3;h;;;;;;;;roman, side control roller
1002;CHAIN;Chain;standard;CHA0002;Cream;0;;0.5;h;;;;;;;;roman, side control roller
1003;CHAIN;Chain;standard;CHA0003;Chestnut;1;;0.5;h;;;;;;;;roman, side control roller
1004;CHAIN;Chain;standard;CHA0004;Beige /Sand;0;;1;h;;;;;;;;roman, side control roller
1005;CHAIN;Chain;standard, heavy duty;CHA0005;Metal;1;;0.7;h;;;;;;;;roman, side control roller
1006;CHAIN;Chain;standard, heavy duty;CHA0006;Brass;0;;0.7;h;;;;;;;;roman, side control roller
1007;CHAIN;Chain;standard;CHA0007;Clear;1;;1;h;;;;;;;;roman, side control roller
1008;CHAIN;Chain;standard;CHA0008;Eggshell;0;;1;h;;;;;;;;roman, side control roller
1009;CHAIN;Chain;standard;CHA0009;Marigold;1;;1;h;;;;;;;;roman, side control roller
1010;CHAIN;Chain;standard;CHA0010;Scarlet;0;;1;h;;;;;;;;roman, side control roller
